Código Ámbito,Ámbito,Código área (M49),Área,Código indicador,Indicador,Código de sexo,Sexo,Código año,Año,Código Elemento,Elemento,Código fuente,Fuente,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"OEA","Indicadores de empleo: Agricultura","004","Afganistán","21091","Employment in agriculture, forestry and fishing by status of employment, total","1","Total","2008","2008","6199","Valor","3021","Household income and expenditure survey","1000 No.","4426.73","X","Cifra de fuentes internacionales","Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OEA","Indicadores de empleo: Agricultura","004","Afganistán","21091","Employment in agriculture, forestry and fishing by status of employment, total","1","Total","2012","2012","6199","Valor","3021","Household income and expenditure survey","1000 No.","2477.08","X","Cifra de fuentes internacionales","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Indicadores de empleo: Agricultura","004","Afganistán","21091","Employment in agriculture, forestry and fishing by status of employment, total","1","Total","2014","2014","6199","Valor","3021","Household income and expenditure survey","1000 No.","2824.35","X","Cifra de fuentes internacionales","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Indicadores de empleo: Agricultura","004","Afganistán","21091","Employment in agriculture, forestry and fishing by status of employment, total","1","Total","2017","2017","6199","Valor","3021","Household income and expenditure survey","1000 No.","2740.24","X","Cifra de fuentes internacionales","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Indicadores de empleo: Agricultura","004","Afganistán","21100","Employment in agriculture, forestry and fishing by status of employment, employees","1","Total","2008","2008","6199","Valor","3021","Household income and expenditure survey","1000 No.","10.59","X","Cifra de fuentes internacionales","Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OEA","Indicadores de empleo: Agricultura","004","Afganistán","21100","Employment in agriculture, forestry and fishing by status of employment, employees","1","Total","2012","2012","6199","Valor","3021","Household income and expenditure survey","1000 No.","29.84","X","Cifra de fuentes internacionales","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Indicadores de empleo: Agricultura","004","Afganistán","21100","Employment in agriculture, forestry and fishing by status of employment, employees","1","Total","2014","2014","6199","Valor","3021","Household income and expenditure survey","1000 No.","214.36","X","Cifra de fuentes internacionales","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Indicadores de empleo: Agricultura","004","Afganistán","21100","Employment in agriculture, forestry and fishing by status of employment, employees","1","Total","2017","2017","6199","Valor","3021","Household income and expenditure survey","1000 No.","33.6","X","Cifra de fuentes internacionales","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Indicadores de empleo: Agricultura","004","Afganistán","21107","Employment in agriculture, forestry and fishing by status of employment, self-employed","1","Total","2008","2008","6199","Valor","3021","Household income and expenditure survey","1000 No.","4416.14","X","Cifra de fuentes internacionales","Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OEA","Indicadores de empleo: Agricultura","004","Afganistán","21107","Employment in agriculture, forestry and fishing by status of employment, self-employed","1","Total","2012","2012","6199","Valor","3021","Household income and expenditure survey","1000 No.","2447.24","X","Cifra de fuentes internacionales","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Indicadores de empleo: Agricultura","004","Afganistán","21107","Employment in agriculture, forestry and fishing by status of employment, self-employed","1","Total","2014","2014","6199","Valor","3021","Household income and expenditure survey","1000 No.","2609.57","X","Cifra de fuentes internacionales","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Indicadores de empleo: Agricultura","004","Afganistán","21107","Employment in agriculture, forestry and fishing by status of employment, self-employed","1","Total","2017","2017","6199","Valor","3021","Household income and expenditure survey","1000 No.","2703.1","X","Cifra de fuentes internacionales","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Indicadores de empleo: Agricultura","004","Afganistán","21110","Employment in agriculture, forestry and fishing by status of employment, workers not classified","1","Total","2017","2017","6199","Valor","3021","Household income and expenditure survey","1000 No.","3.54","X","Cifra de fuentes internacionales","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Indicadores de empleo: Agricultura","004","Afganistán","21091","Employment in agriculture, forestry and fishing by status of employment, total","1","Total","2020","2020","6199","Valor","3023","Labour force survey","1000 No.","2714.3","X","Cifra de fuentes internacionales","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Indicadores de empleo: Agricultura","004","Afganistán","21091","Employment in agriculture, forestry and fishing by status of employment, total","1","Total","2021","2021","6199","Valor","3023","Labour force survey","1000 No.","1934.69","X","Cifra de fuentes internacionales","Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"OEA","Indicadores de empleo: Agricultura","004","Afganistán","21100","Employment in agriculture, forestry and fishing by status of employment, employees","1","Total","2020","2020","6199","Valor","3023","Labour force survey","1000 No.","27.89","X","Cifra de fuentes internacionales","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Indicadores de empleo: Agricultura","004","Afganistán","21100","Employment in agriculture, forestry and fishing by status of employment, employees","1","Total","2021","2021","6199","Valor","3023","Labour force survey","1000 No.","118.4","X","Cifra de fuentes internacionales","Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"OEA","Indicadores de empleo: Agricultura","004","Afganistán","21107","Employment in agriculture, forestry and fishing by status of employment, self-employed","1","Total","2020","2020","6199","Valor","3023","Labour force survey","1000 No.","2686.41","X","Cifra de fuentes internacionales","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Indicadores de empleo: Agricultura","004","Afganistán","21107","Employment in agriculture, forestry and fishing by status of employment, self-employed","1","Total","2021","2021","6199","Valor","3023","Labour force survey","1000 No.","1816.29","X","Cifra de fuentes internacionales","Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"OEA","Indicadores de empleo: Agricultura","008","Albania","21091","Employment in agriculture, forestry and fishing by status of employment, total","1","Total","2007","2007","6199","Valor","3023","Labour force survey","1000 No.","358.4","X","Cifra de fuentes internacionales","Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OEA","Indicadores de empleo: Agricultura","008","Albania","21091","Employment in agriculture, forestry and fishing by status of employment, total","1","Total","2008","2008","6199","Valor","3023","Labour force survey","1000 No.","501.43","X","Cifra de fuentes internacionales","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Indicadores de empleo: Agricultura","008","Albania","21091","Employment in agriculture, forestry and fishing by status of employment, total","1","Total","2009","2009","6199","Valor","3023","Labour force survey","1000 No.","511.22","X","Cifra de fuentes internacionales","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Indicadores de empleo: Agricultura","008","Albania","21091","Employment in agriculture, forestry and fishing by status of employment, total","1","Total","2010","2010","6199","Valor","3023","Labour force survey","1000 No.","491.23","X","Cifra de fuentes internacionales","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Indicadores de empleo: Agricultura","008","Albania","21091","Employment in agriculture, forestry and fishing by status of employment, total","1","Total","2011","2011","6199","Valor","3023","Labour force survey","1000 No.","526.26","X","Cifra de fuentes internacionales","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Indicadores de empleo: Agricultura","008","Albania","21091","Employment in agriculture, forestry and fishing by status of employment, total","1","Total","2012","2012","6199","Valor","3023","Labour force survey","1000 No.","521.18","X","Cifra de fuentes internacionales","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Indicadores de empleo: Agricultura","008","Albania","21091","Employment in agriculture, forestry and fishing by status of employment, total","1","Total","2013","2013","6199","Valor","3023","Labour force survey","1000 No.","450.89","X","Cifra de fuentes internacionales","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Indicadores de empleo: Agricultura","008","Albania","21091","Employment in agriculture, forestry and fishing by status of employment, total","1","Total","2014","2014","6199","Valor","3023","Labour force survey","1000 No.","430.81","X","Cifra de fuentes internacionales","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Indicadores de empleo: Agricultura","008","Albania","21091","Employment in agriculture, forestry and fishing by status of employment, total","1","Total","2015","2015","6199","Valor","3023","Labour force survey","1000 No.","445.53","X","Cifra de fuentes internacionales","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Indicadores de empleo: Agricultura","008","Albania","21091","Employment in agriculture, forestry and fishing by status of employment, total","1","Total","2016","2016","6199","Valor","3023","Labour force survey","1000 No.","460.74","X","Cifra de fuentes internacionales","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Indicadores de empleo: Agricultura","008","Albania","21091","Employment in agriculture, forestry and fishing by status of employment, total","1","Total","2017","2017","6199","Valor","3023","Labour force survey","1000 No.","453.78","X","Cifra de fuentes internacionales","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Indicadores de empleo: Agricultura","008","Albania","21091","Employment in agriculture, forestry and fishing by status of employment, total","1","Total","2018","2018","6199","Valor","3023","Labour force survey","1000 No.","458.23","X","Cifra de fuentes internacionales","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Indicadores de empleo: Agricultura","008","Albania","21091","Employment in agriculture, forestry and fishing by status of employment, total","1","Total","2019","2019","6199","Valor","3023","Labour force survey","1000 No.","460.55","X","Cifra de fuentes internacionales","Repository: ILO-STATISTICS - Micro data processing"
